,description,rank,organizationName,state,studentPopulation,campusSetting,medianBaseSalary,name,webSite,phoneNumber,shortUri,squareImage,city,region,yearFounded,stateCode,Primary_Key,latutide,longitude,attendanceStatus_partTime,attendanceStatus_fullTime,firstToSecondYearRetention_fullTime,firstToSecondYearRetention_partTime,overallGraduationRates_4,overallGraduationRates_6,enrollmentByGender_enrollmentMale,enrollmentByGender_enrollmentFemale,enrollmentByGender_AgeUnder18,enrollmentByGender_Age18to24,enrollmentByGender_Age25to64,enrollmentByGender_Age65andOver,graduationRateByGender_graduationMale,graduationRateByGender_graduationFemale,enrollmentByRace_americanIndian,enrollmentByRace_asian,enrollmentByRace_hawaiianPacific,enrollmentByRace_africanAmerican,enrollmentByRace_hispanic,enrollmentByRace_white,enrollmentByRace_twoRaces,enrollmentByRace_unknown,enrollmentByRace_alien,graduationRateByRace_americanIndian,graduationRateByRace_asian,graduationRateByRace_hawaiianPacific,graduationRateByRace_africanAmerican,graduationRateByRace_hispanic,graduationRateByRace_white,graduationRateByRace_twoRaces,graduationRateByRace_unknown,graduationRateByRace_alien,Twitter,Facebook,LinkedIn,Instagram,YouTube,federalGrant,pellGrant,otherFederalGrant,stateLocalGrant,institutionalGrant,anyGrant,anyLoan,federalLoan,nonFederalLoan
60,"﻿Purdue is a large public research university In West Lafayette, IN, particularly known for its engineering, nursing and pharmacy programs. <br>The university has a strong STEM focus. There are more than 400 research labs on campus, and 26 percent of students major in engineering. <br>A recent $10 million grant from the National Science Foundation will sponsor a new Anvil supercomputer on campus, bolstering Purdue’s long tradition of supercomputing. <br>The Purdue Boilermakers compete in the Big Ten Conference. Mackey Arena, the home of Purdue’s basketball teams, was one of the host arenas for the 2021 NCAA men’s basketball tournament. <br>The first man to walk on the Moon, Neil Armstrong, is a Purdue alumnus. 25 other Purdue alumni have followed in Armstrong’s footsteps and been to outer space.",61,Purdue University,IN,45500,Urban,108600.0,Purdue University,http://www.purdue.edu,765-494-1776,http://onforb.es/MvI1Nq,https://specials-images.forbesimg.com/imageserve/621d261a6c346c54318c5efc/416x416.jpg?background=000000&cropX1=0&cropX2=800&cropY1=0&cropY2=800,West Lafayette,Midwest,1869.0,IN,362,40.429296,-86.914454,14.0,86.0,91.0,74.0,58.0,82.0,57.0,43.0,367.0,33078.0,1142.0,9.0,80.0,85.0,0.1,8.2,0.1,2.8,5.3,58.4,3.2,1.9,20.0,78.0,85.0,83.0,72.0,74.0,83.0,79.0,81.0,82.0,https://twitter.com/LifeAtPurdue,https://www.facebook.com/PurdueUniversity,http://www.linkedin.com/edu/purdue-university-18357,http://instagram.com/lifeatpurdue,,16.0,16.0,12.0,13.0,43.0,10309.0,34.0,32.0,15.0
61,"A member of the State University of New York system, Stony Brook University is a large public research institution on Long Island. <br>Though the majority of Stony Brook students live off campus, the community is kept lively with over 325 student clubs and affinity groups. Stony Brook announced in July that students living on campus are required to be vaccinated. <br>Stony Brook boasts a strong professional education program, with popular degrees in business, healthcare, engineering and biological sciences. <br>More than three-fourths of students receive financial aid. Stony Brook was previously rated as No. 29 on Forbes’ America's Best Value Colleges list. <br>There are more than 200,000 Stony Brook alumni, including three billionaires, Shutterstock founder and executive chairman Jonathan Oringer and hedge fund managers Glenn Dubin and Henry Swieca.",62,"Stony Brook University, SUNY",NY,26814,Suburban,111000.0,"Stony Brook University, SUNY",http://www.stonybrook.edu,(631) 632-6000,http://onforb.es/MvI3ol,//specials-images.forbesimg.com/imageserve/55b917a8e4b05c2c34324322/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416,Stony Brook,Northeast,1957.0,NY,312,40.919163,-73.129583,17.0,83.0,89.0,63.0,59.0,76.0,48.0,52.0,727.0,15961.0,1218.0,3.0,72.0,83.0,0.1,21.3,0.1,6.4,11.2,34.8,2.3,6.6,17.2,67.0,82.0,100.0,76.0,72.0,73.0,72.0,77.0,75.0,https://twitter.com/stonybrooku,https://www.facebook.com/stonybrooku,https://www.linkedin.com/edu/stony-brook-university-19031,http://instagram.com/stonybrooku,,36.0,35.0,6.0,45.0,69.0,10028.0,40.0,39.0,4.0
62,"Washington and Lee University is a private liberal arts institution in Lexington, VA. The university is home to the prestigious Williams School of Commerce, Economics, and Politics. The university’s calendar operates on two thirteen-week terms on campus, and a four-week spring term  off campus. <br>Students are held accountable by a strict honor system defined by the students themselves. Students who lie, cheat or steal are sanctioned with expulsion.<br>When surveyed six months after graduation, 76% of Class of 2018 students reported being employed and 21% responded that they were attending graduate school. <br>The university holds a Mock Convention simulation to predict presidential nominations. Though the convention incorrectly predicted that Bernie Sanders would be the 2020 Democratic nominee for president, they correctly predicted Donald Trump would be the 2016 GOP nominee for president. <br>W&L will meet 100% of demonstrated financial need through grants and student employment.",63,Washington and Lee University,VA,2264,Rural,140600.0,Washington and Lee University,http://www.wlu.edu,(540) 458-8400,http://onforb.es/MvI0Jp,https://specials-images.forbesimg.com/imageserve/55b8e7ebe4b05c2c34324129/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416,Lexington,South,1749.0,VA,37,37.786248,-79.443623,1.0,99.0,98.0,0.0,92.0,94.0,50.0,50.0,18.0,1825.0,16.0,1.0,94.0,95.0,0.1,3.9,0.0,3.8,5.4,76.9,3.8,1.9,4.2,0.0,94.0,0.0,86.0,100.0,94.0,100.0,100.0,91.0,https://twitter.com/wlunews,https://www.facebook.com/washingtonandlee,https://www.linkedin.com/edu/school?id=19615&trk=vsrp_universities_res_name&trkInfo=VSRPsearchId%3A3023708651405632701980%2CVSRPtargetId%3A19615%2CVSRPcmpt%3Aprimary,http://www.instagram.com/wlunews,,14.0,11.0,11.0,16.0,57.0,47199.0,21.0,20.0,4.0
63,"Baruch College, part of the City University of New York system, takes advantage of its location in Midtown Manhattan to build on its strengths in business and innovation. <br>Baruch is home to the Zicklin School of Business. Finance, accounting and marketing are the most popular fields of study. <br>Known for its unique vertical campus, Baruch is stacked with classrooms, performing arts centers, a student activity center and a food court. Students can take part in over 130 clubs — but no Greek life, which has been put on hold until May 2024 — and civic engagement opportunities. <br>The student body’s diversity is reflective of New York City, with racial and ethnic minorities making up 68% of the undergraduate population, and 36% identify as first generation. Over 80% of students are from households with income less than $40,000. <br>Top employers of Baruch graduates are banks like JP Morgan and PricewaterhouseCoopers.",64,"CUNY, Baruch College",NY,18679,Urban,111000.0,"CUNY, Baruch College",http://www.baruch.cuny.edu,646-312-1000,http://onforb.es/MvI2Rn,https://specials-images.forbesimg.com/imageserve/5d51d75f2dedcb0008dfd2fa/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416,New York,Northeast,1847.0,NY,363,40.740725,-73.983628,32.0,68.0,89.0,90.0,44.0,70.0,52.0,48.0,266.0,11938.0,3257.0,21.0,63.0,79.0,0.1,31.7,0.1,8.7,23.5,22.4,1.9,0.0,11.6,60.0,78.0,0.0,52.0,60.0,67.0,0.0,0.0,63.0,https://twitter.com/BaruchCollege,https://www.facebook.com/baruchcollege,http://www.linkedin.com/groups?mostPopular=&gid=95741,,http://video.realviewtv.com/education/baruch/,56.0,48.0,11.0,67.0,8.0,9657.0,6.0,5.0,1.0
64,"A midsize private university in Bethlehem, PA, Lehigh offers a rigorous and career-focused education at its hilly, tree-lined campus. <br>Lehigh primes students for professional success with large entrepreneurship and engineering programs that help students build networks and develop ideas into business ventures. <br>Lehigh has a notable rivalry with the nearby Lafayette College. The two schools have the most played rivalry in all of college football, and Lehigh students mark the occasion of football games against Lafayette with everything from bed races to bonfires. <br>As the sixth university globally to achieve NGO status, Lehigh enjoys a special relationship with the United Nations. <br>Among prominent Lehigh graduates are escalator inventor Jesse Reno and WNBA commissioner Cathy Engelbert. ",65,Lehigh University,PA,6953,Urban,139800.0,Lehigh University,http://www4.lehigh.edu/default.aspx,(610) 758-3000,http://onforb.es/MvI8IJ,//specials-images.forbesimg.com/imageserve/559c3865e4b05c2c3431bb4f/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416,Bethlehem,Northeast,1865.0,PA,174,40.607182,-75.378892,12.0,88.0,93.0,0.0,80.0,90.0,54.0,46.0,106.0,5053.0,18.0,1.0,90.0,90.0,0.1,6.8,0.1,3.7,8.2,59.0,2.8,3.7,15.6,0.0,90.0,0.0,83.0,85.0,92.0,76.0,88.0,87.0,https://twitter.com/LehighU,https://www.facebook.com/lehighu,https://www.linkedin.com/edu/school?id=19276&trk=tyah&trkInfo=tarId%3A1406148667284%2Ctas%3Alehigh%2Cidx%3A2-1-4,http://instagram.com/lehighu#,http://www4.lehigh.edu/virtualtour/default.aspx,18.0,16.0,3.0,8.0,50.0,41755.0,42.0,40.0,12.0
65,"The youngest of the American service academies, the tuition-free United States Air Force Academy produces leaders from its campus 10 miles outside of Colorado Springs, CO. <br>The academy has a rigorous core curriculum, requiring students to take classes across nine disciplines, including engineering, “warrior ethos” and national security. <br>Students are known as “cadets” and graduate as second lieutenants in the Air Force. All cadets must serve at least five years on active duty and three years on inactive reserve after graduation. <br>Cadets can join the school’s prestigious falconry club and train the birds for aerobatic shows. <br>The Air Force Academy counts dozens of Rhodes Scholars and astronauts among its alumni. ",66,United States Air Force Academy,CO,4304,Rural,140400.0,United States Air Force Academy,http://www.usafa.af.mil,(719) 333-3070,http://onforb.es/MvHYRM,//specials-images.forbesimg.com/imageserve/5d5194db68cb0a000916b375/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416,Colorado Springs,West,1954.0,CO,11,39.01104,-104.8899,0.0,100.0,94.0,0.0,84.0,85.0,72.0,28.0,59.0,4199.0,46.0,0.0,85.0,86.0,0.3,5.8,0.5,6.6,10.8,64.2,7.4,3.1,1.3,67.0,81.0,86.0,80.0,86.0,87.0,85.0,82.0,88.0,https://twitter.com/AF_Academy,https://www.facebook.com/USAFA.Official,https://www.linkedin.com/edu/united-states-air-force-academy-19968,,,,,,,,,,,
66,"San Diego State University is a public university that aims to give students a global, research-oriented education. <br>There are about 95 majors for undergraduates at San Diego State, with the most popular major by far being business administration. Psychology, mechanical engineering and economics are also prominent. <br>The university hosts more than 300 clubs and organizations on campus, including 46 recognized Greek life chapters. Students enjoy various traditions at San Diego State, such as Aztec Nights, a series of late night movie screenings and a campus carnival. <br>San Diego State offers nearly 700 scholarship opportunities for students, including a $7,500 to $10,000 merit scholarship for first-year students.  <br>SDSU spends about $134 million annually on research. More than 90 SDSU students have received Fulbright awards since 2005.",67,San Diego State University,CA,35544,Urban,104700.0,San Diego State University,http://www.sdsu.edu,619-594-5200,http://onforb.es/MvI0J8,https://specials-images.forbesimg.com/imageserve/559c4b9fe4b05c2c3431bc82/416x416.jpg?background=000000&cropX1=0&cropX2=600&cropY1=0&cropY2=600,San Diego,West,1897.0,CA,443,32.772283,-117.071913,14.0,86.0,89.0,82.0,39.0,73.0,44.0,56.0,373.0,26424.0,4046.0,5.0,69.0,75.0,0.3,12.6,0.3,3.9,31.3,34.3,6.1,3.9,7.3,55.0,78.0,68.0,67.0,71.0,75.0,71.0,72.0,51.0,http://twitter.com/SDSU_NewsTeam,http://www.facebook.com/SanDiegoState,http://www.linkedin.com/edu/san-diego-state-university-california-state-university-17905,http://instagram.com/sandiegostateuniversity#,http://arweb.sdsu.edu/es/virtualtour/,25.0,33.0,7.0,40.0,20.0,8507.0,30.0,29.0,3.0
67,"Easton, PA’s Lafayette College is a private liberal arts school that offers over 40 undergraduate programs and encourages students to dual major or design their own course of study. Recent self-designed majors include “technology and law” and “animal science.” <br>Many engineering students study abroad on Lafayette’s faculty-led programs in Germany and Spain. <br>The Lafayette Leopards compete in 22 NCAA Division I sports. Lafayette’s football rivalry against Lehigh University is the most-played in the country. The college also offers more than 25 club sports for students to take part in. <br>Lafayette meets 100% of admitted students’ demonstrated financial need for four years. The college awards 10 first-year students the merit-based Marquis Fellowship scholarship which covers full tuition, and 50 others the Marquis Scholarship at half-tuition.",68,Lafayette College,PA,2662,Suburban,131800.0,Lafayette College,http://www.lafayette.edu,(610) 330-5000,http://onforb.es/NirwkL,https://specials-images.forbesimg.com/imageserve/578fc6e74bbe6f31cdfb98b6/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416,Easton,Northeast,1826.0,PA,60,40.691195,-75.209829,1.0,99.0,94.0,0.0,84.0,88.0,49.0,51.0,38.0,2615.0,9.0,0.0,85.0,91.0,0.0,4.4,0.0,5.4,7.3,64.8,3.2,5.4,9.5,0.0,67.0,0.0,84.0,85.0,90.0,70.0,92.0,85.0,https://twitter.com/LafCol,https://www.facebook.com/LafayetteCollege.edu,https://www.linkedin.com/edu/school?id=19945&trk=tyah&trkInfo=tarId%3A1406049657606%2Ctas%3Alafayette%2Cidx%3A6-1-14,http://instagram.com/lafayettecollege?ref=badge,http://virtualtour.lafayette.edu/,10.0,11.0,4.0,2.0,49.0,44460.0,31.0,27.0,7.0
68,"One of the oldest public universities in the country, the University of Georgia in Athens is the flagship institution of Georgia’s higher education system. UGA’s main campus spans 762 acres and 465 buildings. <br>The university offers more than 100 undergraduate degrees across 18 schools and colleges. The most popular majors at UGA are finance, computer science, psychology and biology. The Odum School of Ecology is the only school in the U.S. solely devoted to ecological research. <br>The Georgia Bulldogs compete in 19 NCAA Division I varsity teams, including an elite football program that has earned 15 SEC championship titles. <br>UGA has 65 registered fraternity and sorority chapters. There are more than 600 clubs and organizations for students to be a part of, from campus magazines to faith groups and fishing clubs. <br>Last year UGA awarded more than $3.5 million in academic scholarships and awards to undergraduate students. The university awards numerous merit scholarships and fellowships to first-year students, including international students.",69,University of Georgia,GA,38920,Urban,104200.0,University of Georgia,http://www.uga.edu,(706) 542-3000,http://onforb.es/MvI5MV,//specials-images.forbesimg.com/imageserve/5d51a40e68cb0a000916bc98/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416,Athens,South,1785.0,GA,149,33.925215,-83.393519,10.0,90.0,96.0,96.0,65.0,86.0,42.0,58.0,137.0,28919.0,764.0,28.0,85.0,89.0,0.1,9.3,0.1,8.2,5.6,66.6,3.8,1.1,5.2,67.0,81.0,83.0,85.0,86.0,87.0,86.0,0.0,86.0,https://twitter.com/universityofga,https://www.facebook.com/uga.edu,http://www.linkedin.com/company/university-of-georgia,,http://www.architects.uga.edu/maps/current,17.0,21.0,4.0,83.0,32.0,11001.0,30.0,29.0,3.0
69,"The University of Connecticut is a large public university in the college town of Storrs, CT. Considered a “Public Ivy,” UConn offers its 19,000 undergraduates numerous opportunities for academic and professional growth. <br>Basketball reigns supreme at UConn. The women’s basketball team is the winningest Division I program of all time, with a record 11 national championships. The men’s basketball team is similarly a force, with four national titles since 1999. <br>Students at UConn can choose from 119 majors across 14 schools and colleges. Economics, Psychology and Communications are amongst the schools most popular majors. <br>The UConn Dairy Bar has been a campus favorite since 1953. The secret to the ice cream is the dairy comes fresh from UConn’s own cows. <br>Many of UConn’s most famous alumni made a name for themselves on the basketball court, including Olympic Gold Medalists and WNBA champions Sue Bird and Diana Taurasi.",70,University of Connecticut,CT,27280,Suburban,105200.0,University of Connecticut,http://uconn.edu,(860) 486-3137,http://onforb.es/MvI0ch,https://specials-images.forbesimg.com/imageserve/559ae710e4b05c2c3431b244/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416,Storrs,Northeast,1881.0,CT,275,41.808457,-72.250089,12.0,88.0,94.0,36.0,73.0,85.0,48.0,52.0,622.0,17714.0,494.0,17.0,81.0,87.0,0.1,9.8,0.1,6.3,10.2,53.0,2.9,2.8,14.8,75.0,86.0,0.0,72.0,80.0,86.0,86.0,88.0,80.0,https://twitter.com/uconn,https://www.facebook.com/UConn,http://s.uconn.edu/linkedin,http://instagram.com/UConn/,,20.0,22.0,2.0,5.0,61.0,14687.0,44.0,43.0,6.0
70,"A private Jesuit university in Santa Clara, CA, the school’s College of Arts & Sciences, School of Engineering, and the distinguished Leavey School of Business provide more than 50 undergraduate programs offered on a quarterly academic calendar. <br>The university is home to several professional centers, like the Miller Center for Social Entrepreneurship and Frugal Innovation Hub, where students and faculty partner with humanitarian organizations and accelerate entrepreneurship. <br>SCU provides financial aid to 73% of students. The university also offers specialized grants, such as an award for undergraduate first-years who attended a Jesuit high school. <br>Mozilla cofounder Brandan Eich, Branch Metrics CEO Alex Austin and Seinfeld producer Andy Ackerman all graduated from Santa Clara University.",71,Santa Clara University,CA,8669,Urban,146300.0,Santa Clara University,http://www.scu.edu,(408) 554-4000,http://onforb.es/MvI4sv,https://specials-images.forbesimg.com/imageserve/55b8ef3fe4b05c2c3432415d/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416,Santa Clara,West,1851.0,CA,114,37.351709,-121.937018,14.0,86.0,94.0,0.0,87.0,91.0,49.0,51.0,15.0,5625.0,54.0,0.0,89.0,94.0,0.1,18.4,0.3,2.5,17.0,40.7,6.6,2.2,12.2,0.0,94.0,100.0,92.0,88.0,92.0,89.0,88.0,89.0,https://twitter.com/SantaClaraUniv,https://www.facebook.com/SantaClaraUniversity,http://www.linkedin.com/edu/santa-clara-university-17914,https://instagram.com/santaclarauniversity/,http://www.scu.edu/virtualtour/,12.0,11.0,5.0,11.0,63.0,29367.0,29.0,28.0,3.0
71,"A short walk from the National Mall in Washington, D.C., George Washington University is the largest research institution in the city and has produced numerous prominent figures in government and business. <br>GW’s Elliott School of International Affairs is highly regarded as a top school for careers in government and the social sciences. The university offers more than 75 majors to choose from. <br>Students are able to participate in undergraduate research and entrepreneurship across different disciplines, and can publish in several faculty- and peer-reviewed undergraduate publications. <br>Students are encouraged to study abroad through a variety of programs in countries such as Chile, Spain and France or through exchange and independent study in many other countries. <br>Prior to fall 2020, undergraduate tuition was fixed for up to 10 semesters. The cost of tuition increased about 2% for the 2021-22 academic year. About 94% of applicants with financial need receive aid.",72,George Washington University,DC,27814,Urban,124500.0,George Washington University,http://www.gwu.edu,202-994-1000,http://onforb.es/MvI5N1,https://specials-images.forbesimg.com/imageserve/559acc1ce4b05c2c3431afa3/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416,Washington,Northeast,1821.0,DC,291,38.903034,-76.973533,32.0,68.0,92.0,71.0,76.0,82.0,39.0,61.0,113.0,10962.0,1269.0,1.0,81.0,83.0,0.2,10.4,0.2,10.0,8.7,46.5,3.1,5.9,15.0,0.0,84.0,100.0,72.0,76.0,84.0,75.0,83.0,80.0,http://twitter.com/GWtweets,https://www.facebook.com/georgewashingtonuniversity,http://linkedin.com/company/george-washington-university,http://instagram.com/gwuniversity,,16.0,15.0,15.0,2.0,75.0,32952.0,41.0,40.0,6.0
72,"A premier liberal arts school in Poughkeepsie, NY, Vassar was founded as a women’s college in 1861 before becoming coeducational in 1969. <br>Vassar prides itself on being an academic pioneer. The school was the first American college to offer a cognitive science major and among the first to offer classes in drama, psychology and Russian. <br>The Vassar library system contains over a million volumes and boasts the iconic Thompson Library, a stunning Gothic building with stained glass windows. <br>Much of Vassar’s 1,000 acre campus is occupied by the Farm and Ecological Preserve, which features numerous hiking trails, ponds and wildlife. <br>Many Vassar graduates go on to thrive in the arts, including poet Edna St. Vincent Millay, actors Meryl Streep and Lisa Kudrow and Flickr cofounder Caterina Fake.",73,Vassar College,NY,2439,Suburban,107700.0,Vassar College,http://www.vassar.edu,(845) 437-7000,http://onforb.es/MvHOtt,//specials-images.forbesimg.com/imageserve/5d51b1d568cb0a000916bfe5/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416,Poughkeepsie,Northeast,1861.0,NY,23,41.68544,-73.897898,1.0,99.0,96.0,0.0,86.0,91.0,41.0,59.0,37.0,2359.0,33.0,0.0,91.0,92.0,0.0,11.8,0.0,3.7,11.1,54.9,8.9,0.3,9.3,0.0,95.0,0.0,90.0,80.0,91.0,98.0,0.0,94.0,https://twitter.com/vassar,https://www.facebook.com/vassarcollege,http://www.linkedin.com/company/vassar-college,,http://admissions.vassar.edu/visit/tour/,20.0,23.0,11.0,9.0,53.0,47917.0,37.0,34.0,6.0
73,"A midsize private university in Winston-Salem, NC, Wake Forest encourages students to engage with the community while earning a liberal arts education. <br>WFU has 45 undergraduate majors and encourages hands-on learning through research and service opportunities. Providing a global mindset is also critical to a WFU education. Students can study abroad in residential-academic houses in Vienna, Venice and London, as well as study at the university’s Washington, D.C. center. <br>Students stay busy outside of the classroom with more than 250 student organizations. The Wake Forest Demon Deacons play in the NCAA Division I Atlantic Coast Conference. <br>The university offers several generous merit scholarships, like the Guy T. Carswell, Joseph G. Gordon and Graylyn Scholarships, all of which offer awards of full tuition and room and board. <br>Susan Wente began her tenure as the 14th president of the university in July. She is Wake Forest’s first female president.",74,Wake Forest University,NC,8495,Urban,124400.0,Wake Forest University,http://www.wfu.edu,336.758.5201,http://onforb.es/Nirvxa,https://specials-images.forbesimg.com/imageserve/55b8eacce4b05c2c34324138/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416,Winston-Salem,South,1834.0,NC,71,36.136824,-80.27403,7.0,93.0,94.0,100.0,84.0,88.0,46.0,54.0,4.0,5275.0,8.0,0.0,87.0,89.0,0.2,4.6,0.0,7.8,6.9,66.7,3.0,1.2,9.6,50.0,90.0,0.0,91.0,88.0,88.0,86.0,0.0,92.0,https://twitter.com/WakeForest,http://www.facebook.com/wfuniversity,https://www.linkedin.com/edu/school?id=18804,http://instagram.com/wfuniversity,admissions.wfu.edu/visit/video.tour.php,9.0,9.0,7.0,5.0,36.0,46779.0,19.0,18.0,3.0
74,"Virginia Polytechnic and State University—”Virginia Tech”—is a large public research university spanning 2,600 acres in Blacksburg, VA. <br>The university offers more than 110 undergraduate degree programs across nine schools. The top majors at Virginia Tech are mechanical engineering, business management and biological sciences.  <br>The Virginia Tech Corporate Research Center helps students and faculty launch companies based on research done at Virginia Tech. Sponsored research awards increased by 15% in 2020, bringing the school’s research expenditures to $542 million. <br>The Hokies play in 18 NCAA Division I varsity teams. Virginia Tech also has 30 club sports teams and 39 intramural sports.  <br>Alumni of the university include Hota Kotb, co-anchor of NBC’s TODAY Show, and Jim Buckmaster, CEO of Craigslist. Several notable NFL players played at Virginia Tech, such as Tyrod Taylor, Trey Edmunds and Michael Vick.",75,Virginia Tech,VA,36383,Urban,116000.0,Virginia Tech,http://vt.edu,540-231-6000,http://onforb.es/MvI8Zd,https://specials-images.forbesimg.com/imageserve/5d51b34895808800097c808b/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416,Blacksburg,South,1872.0,VA,155,37.226263,-80.410584,8.0,92.0,93.0,84.0,65.0,86.0,57.0,43.0,140.0,28634.0,523.0,3.0,84.0,88.0,0.1,9.3,0.1,4.4,6.3,61.5,4.5,2.7,11.1,89.0,89.0,60.0,77.0,78.0,87.0,84.0,85.0,76.0,http://www.twitter.com/vtnews,http://www.facebook.com/virginiatech,,,www.admiss.vt.edu,16.0,16.0,7.0,13.0,36.0,8849.0,42.0,41.0,9.0
75,"A private research university known for its emphasis on pre-professional education, Northeastern University sits on an urban campus in Boston. <br>The school’s signature cooperative co-education (co-op) programs enables students to alternate semesters of full-time academic study with semesters of full-time employment. While completing a co-op is not required, 96% of students participated in at least one co-op. <br>Northeastern operates satellite campuses throughout the world, with five satellite campuses across the United States, two in Canada and one in the United Kingdom. <br>Co-ops are often fruitful for Northeastern students: 50% of participants receive a full-time job offer from their co-op employer. <br>Northeastern’s women’s ice hockey team was this season’s NCAA tournament runner-up, losing 2-1 in the national championship game to Wisconsin.",76,Northeastern University,MA,22207,Urban,109700.0,Northeastern University,http://www.northeastern.edu,617.373.2000,http://onforb.es/MvI6k1,//specials-images.forbesimg.com/imageserve/55b91723e4b05c2c34324313/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416,Boston,Northeast,1898.0,MA,519,42.340252,-71.08899,4.0,96.0,99.0,0.0,0.0,89.0,52.0,48.0,241.0,13823.0,136.0,2.0,86.0,91.0,0.0,11.0,0.0,3.4,6.8,37.7,3.6,5.1,32.4,0.0,92.0,0.0,81.0,89.0,91.0,89.0,91.0,82.0,https://twitter.com/northeastern,https://www.facebook.com/northeastern,https://www.linkedin.com/company/northeastern-university,http://instagram.com/northeastern,http://www.youtube.com/watch?feature=player_embedded&v=uQo6kqP_sqU,11.0,11.0,10.0,4.0,75.0,34094.0,39.0,38.0,6.0
76,"Founded in 1946 to educate World War II veterans, Binghamton University is a large public institution in the New York system located in the upstate city of Binghamton. <br>Binghamton’s famous accelerated programs allow students to graduate in five years with a bachelor’s and master’s degree across numerous disciplines. <br>The university is a part of the NYS STEM Incentive Program, which awards full-tuition scholarships to New York state residents that pursue STEM degrees. <br>Binghamton is home to numerous residential learning communities for interest groups such as Politics, Law and Society and Computers, Robotics and Engineering. <br>About half of Binghamton’s Class of 2020 entered the workforce and half pursued further education after graduation. Of those working, the reported average starting salary was $61,635. ",77,"Binghamton University, SUNY",NY,18124,Suburban,115100.0,"Binghamton University, SUNY",http://www.binghamton.edu,(607) 777-2171,http://onforb.es/MvHZ8e,//specials-images.forbesimg.com/imageserve/55b8fb4ce4b05c2c34324202/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416,Binghamton,Northeast,1946.0,NY,196,42.098687,-75.911271,11.0,89.0,90.0,93.0,72.0,82.0,50.0,50.0,12.0,13807.0,337.0,1.0,78.0,86.0,0.1,13.0,0.0,4.7,10.4,55.0,2.7,1.4,12.7,67.0,82.0,0.0,80.0,78.0,83.0,80.0,79.0,75.0,https://twitter.com/binghamtonu,https://www.facebook.com/BinghamtonU,https://www.linkedin.com/edu/school?id=19027&trk=tyah&trkInfo=tarId%3A1405432592487%2Ctas%3Abingham%2Cidx%3A6-1-12,http://instagram.com/binghamtonu,https://www.facebook.com/BinghamtonU/app_89534166522,28.0,28.0,12.0,49.0,51.0,9398.0,50.0,49.0,7.0
77,"The University of Rochester is a midsize private research university two miles south of downtown Rochester, NY. <br>77% of undergraduates at the University of Rochester participate in research, working across 60 research centers to cover areas from virtual reality to paleomagnetics. <br>The University of Rochester has no core curriculum or general education requirements except for one required writing class. <br>The university’s acclaimed Eastman School of Music engages aspiring musicians in composition, performance and scholarship, with a fitting motto of “Eat, sleep, music.” <br>University of Rochester alumni have gone on to win MacArthur and Guggenheim fellowships, Pulitzer Prizes and Nobel Prizes.",78,University of Rochester,NY,12233,Urban,116000.0,University of Rochester,http://www.rochester.edu,(585) 275-2121,http://onforb.es/MvI1go,https://specials-images.forbesimg.com/imageserve/55b8eb19e4b05c2c3432413b/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416,Rochester,Northeast,1850.0,NY,132,43.132968,-77.61986,18.0,82.0,94.0,0.0,80.0,87.0,48.0,52.0,22.0,6270.0,404.0,0.0,87.0,88.0,0.1,7.8,0.0,4.7,5.8,42.1,2.6,5.5,31.4,50.0,87.0,0.0,85.0,87.0,87.0,94.0,90.0,87.0,https://twitter.com/UofR,https://www.facebook.com/University.of.Rochester,http://www.linkedin.com/groupInvitation?gid=53402,http://instagram.com/urochester,http://www.ecampustours.com/tour-home-page-external.aspx?UnitID=&FafsaCode=002894,20.0,18.0,18.0,15.0,77.0,39782.0,39.0,37.0,7.0
